Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]","2026 [YR2026]","2027 [YR2027]","2028 [YR2028]","2029 [YR2029]","2030 [YR2030]","2031 [YR2031]","2032 [YR2032]","2033 [YR2033]","2034 [YR2034]","2035 [YR2035]","2036 [YR2036]","2037 [YR2037]","2038 [YR2038]","2039 [YR2039]","2040 [YR2040]","2041 [YR2041]","2042 [YR2042]","2043 [YR2043]","2044 [YR2044]","2045 [YR2045]","2046 [YR2046]","2047 [YR2047]","2048 [YR2048]","2049 [YR2049]","2050 [YR2050]"
Afghanistan,"AFG","Age population, age 08, male, interpolated","SP.POP.AG08.MA.IN","115212","118355","121917","125527","129049","132200","136672","141247","145523","149642","153458","158885","164561","169925","174777","178765","183384","187723","190947","192516","191996","189986","186839","183098","179543","176580","175230","175271","176955","181009","187430","198901","213982","230462","246046","259380","270839","279475","286552","294427","304365","315375","329761","346918","364025","379370","396572","411681","424712","437247","450005","460833","472113","482873","491630","497391","504797","","","","498000","","","","","504000","","","","","507000","","","","","508000","","","","","508000","","","","","498000","","","","","480000"
Afghanistan,"AFG","Age population, age 09, female, interpolated","SP.POP.AG09.FE.IN","112325","112431","113416","115741","119303","122976","127087","131645","135901","139505","142882","147590","152809","157891","162297","165960","169868","173722","176606","177692","176889","174150","170413","166224","162314","159202","157738","158020","159974","163683","169301","178931","191634","205492","218508","229918","239977","248523","256361","264788","274873","285961","298651","313195","328789","343255","358836","373989","387794","400326","412891","424360","435890","447311","457779","465947","474797","","","","475000","","","","","476000","","","","","482000","","","","","482000","","","","","483000","","","","","476000","","","","","460000"
Afghanistan,"AFG","Age population, age 09, male, interpolated","SP.POP.AG09.MA.IN","111795","114379","117595","121020","124305","127375","131363","135831","140206","144160","147908","152834","158311","163661","168345","172303","176469","180642","183906","185411","185009","182710","179441","175727","172265","169540","168133","168391","170374","174391","180740","191701","206278","222249","237184","249945","260679","269063","276091","283494","292873","303208","315892","331038","347522","362738","379390","394988","409126","422378","436087","448056","460461","472424","482596","489942","498672","","","","499000","","","","","501000","","","","","507000","","","","","507000","","","","","508000","","","","","500000","","","","","484000"
Afghanistan,"AFG","Age population, age 10, female, interpolated","SP.POP.AG10.FE.IN","111850","111194","111506","112616","114998","118500","122128","126359","130894","134949","138175","142206","147088","152174","156733","160312","163663","167235","170215","171582","170832","167732","163844","159671","155881","152884","151210","151448","153618","157578","163073","172108","184318","197884","210648","221478","230625","238538","246039","254190","263697","274511","286448","299299","313218","327656","342555","357504","372352","386347","399400","411594","423982","435914","447002","456660","466271.000000001","","","","478000","","","","","473000","","","","","482000","","","","","482000","","","","","483000","","","","","478000","","","","","463000"
Afghanistan,"AFG","Age population, age 10, male, interpolated","SP.POP.AG10.MA.IN","109013","110973","113750","116994","120238","123163","126523","130668","135164","139388","143010","147277","152399","157761","162609","166483","170068","173937","177261","179012","178664","176000","172569","168852","165502","162924","161338","161600","163892","168242","174484","184834","198861","214397","228948","241165","251063","258993","266048","273531","282374","292291","303988","317008","331352","346325","362349","377729","392759","407341","421695","434491","447971","461022","472407","481223","490706","","","","501000","","","","","498000","","","","","507000","","","","","507000","","","","","507000","","","","","502000","","","","","487000"
Afghanistan,"AFG","Age population, age 11, female, interpolated","SP.POP.AG11.FE.IN","112447","110715","110422","110824","111898","114262","117608","121364","125756","130356","134217","137459","141704","146595","151364","155268","158031","161095","163963","165669","165398","161889","157734","153507","149818","147003","145106","145092","147251","151509","157313","165733","177254","190381","203024","213761","221999","229113","236135","244091","253396","263814","275573","287459","299377","312061","326460","340739","355695","371154","385914","398419","411576","424266","435727","445971","456597","","","","481000","","","","","468000","","","","","482000","","","","","481000","","","","","482000","","","","","480000","","","","","466000"
Afghanistan,"AFG","Age population, age 11, male, interpolated","SP.POP.AG11.MA.IN","106800","108144","110350","113274","116505","119538","122258","125806","130137","134710","138775","142323","146826","151986","157063","161283","164261","167604","170791","172843","172943","169866","166166","162383","159116","156715","154939","154979","157315","162056","168688","178393","191714","206735","221003","233000","242100","249306","256114","263826","272841","282201","293574","305346","317201","329952","345531","360351","375452","391267","407145","420422","434702","448795","461266","471320","481698","","","","503000","","","","","493000","","","","","507000","","","","","505000","","","","","507000","","","","","504000","","","","","490000"
Afghanistan,"AFG","Age population, age 12, female, interpolated","SP.POP.AG12.FE.IN","111473","111188","109937","109887","110222","111188","113286","116799","120721","125357","130032","133397","136910","141212","145933","150255","152945","155488","157911","159687","159996","156605","152135","147706","144023","141373","139388","139130","140979","145250","151454","159810","170645","183048","195377","206196","214064","220383","226675","234248","243463","253887","265299","277144","287925","298327","310366","324201","338470","354304","370926","385186","398674","412200","424346","434835","445642","","","","480000","","","","","466000","","","","","481000","","","","","480000","","","","","481000","","","","","481000","","","","","469000"
Afghanistan,"AFG","Age population, age 12, male, interpolated","SP.POP.AG12.MA.IN","104781","105815","107467","109876","112909","116096","118522","121485","125249","129813","134456","137966","141810","146398","151430","156100","159014","161818","164549","166644","167284","164292","160272","156291","153019","150763","148898","148728","150774","155585","162713","172392","184989","199282","213153","225053","233726","240261","246402","253998","263405","272976","283828","295419","305819","315753","328737","343206","357769","373882","391305","406156","420897","435795","449311","460464","471603","","","","503000","","","","","490000","","","","","506000","","","","","504000","","","","","506000","","","","","505000","","","","","493000"
Afghanistan,"AFG","Age population, age 13, female, interpolated","SP.POP.AG13.FE.IN","107682","110123","110287","109398","109435","109628","110134","112390","116106","120275","125166","129129","132741","136372","140556","144984","147916","150367","152352","153763","154326","151374","147027","142352","138501","135892","133928","133509","135079","138970","145223","153817","164480","176182","187818","198479","206293","212303","217878","224733","233628","244324","255694","267276","278192","287307","296151","307660","321512","336602","353842","370456","385653","399553","412626","423740","434246","","","","473000","","","","","467000","","","","","477000","","","","","479000","","","","","480000","","","","","480000","","","","","471000"
